加載數據集...
訓練集: 63325個樣本
驗證集: 450個樣本
初始化resnet34模型...
模型參數數量: 21,335,972
開始訓練 resnet34 模型...
訓練設備: cuda
訓練集大小: 63325 樣本
驗證集大小: 450 樣本
批次大小: 64
總訓練批次數: 990
總驗證批次數: 8
總訓練輪數: 20

============================================================
Epoch 1/20 開始
訓練階段:
訓練 Epoch 1/20:  32%|█████████████████████████████████████████▌                                                                                       | 319/990 [00:41<01:19,  8.39it/s, loss=3.4018, acc=7.69%, time=0.118s]
 批次 700/990 | 損失: 3.4313 | 準確率: 0.1057 | 批次時間: 0.655秒
 批次 710/990 | 損失: 3.4273 | 準確率: 0.1061 | 批次時間: 0.119秒
 批次 720/990 | 損失: 3.4245 | 準確率: 0.1064 | 批次時間: 0.120秒
 批次 730/990 | 損失: 3.4198 | 準確率: 0.1072 | 批次時間: 0.119秒
 批次 740/990 | 損失: 3.4170 | 準確率: 0.1074 | 批次時間: 0.120秒
 批次 750/990 | 損失: 3.4115 | 準確率: 0.1083 | 批次時間: 0.119秒
 批次 760/990 | 損失: 3.4065 | 準確率: 0.1094 | 批次時間: 0.119秒
 批次 770/990 | 損失: 3.4014 | 準確率: 0.1101 | 批次時間: 0.119秒
 批次 780/990 | 損失: 3.3964 | 準確率: 0.1110 | 批次時間: 0.119秒
 批次 790/990 | 損失: 3.3914 | 準確率: 0.1117 | 批次時間: 0.120秒
 批次 800/990 | 損失: 3.3874 | 準確率: 0.1124 | 批次時間: 0.665秒
 批次 810/990 | 損失: 3.3843 | 準確率: 0.1129 | 批次時間: 0.119秒
 批次 820/990 | 損失: 3.3804 | 準確率: 0.1140 | 批次時間: 0.119秒
 批次 830/990 | 損失: 3.3773 | 準確率: 0.1144 | 批次時間: 0.119秒
 批次 840/990 | 損失: 3.3725 | 準確率: 0.1152 | 批次時間: 0.119秒
 批次 850/990 | 損失: 3.3683 | 準確率: 0.1160 | 批次時間: 0.120秒
 批次 860/990 | 損失: 3.3644 | 準確率: 0.1168 | 批次時間: 0.120秒
 批次 870/990 | 損失: 3.3612 | 準確率: 0.1172 | 批次時間: 0.119秒
 批次 880/990 | 損失: 3.3572 | 準確率: 0.1176 | 批次時間: 0.120秒
 批次 890/990 | 損失: 3.3534 | 準確率: 0.1183 | 批次時間: 0.119秒
 批次 900/990 | 損失: 3.3503 | 準確率: 0.1188 | 批次時間: 0.672秒
 批次 910/990 | 損失: 3.3464 | 準確率: 0.1195 | 批次時間: 0.119秒
 批次 920/990 | 損失: 3.3422 | 準確率: 0.1204 | 批次時間: 0.119秒
 批次 930/990 | 損失: 3.3379 | 準確率: 0.1211 | 批次時間: 0.119秒
 批次 940/990 | 損失: 3.3349 | 準確率: 0.1216 | 批次時間: 0.119秒
 批次 950/990 | 損失: 3.3316 | 準確率: 0.1222 | 批次時間: 0.119秒
 批次 960/990 | 損失: 3.3279 | 準確率: 0.1229 | 批次時間: 0.119秒
 批次 970/990 | 損失: 3.3239 | 準確率: 0.1234 | 批次時間: 0.120秒
 批次 980/990 | 損失: 3.3198 | 準確率: 0.1239 | 批次時間: 0.120秒
 批次 990/990 | 損失: 3.3159 | 準確率: 0.1245 | 批次時間: 0.669秒
訓練階段完成 | 平均損失: 3.3159 | 準確率: 0.1245 | 平均批次時間: 0.126秒 | 總時間: 125.80秒

驗證階段:
驗證 Epoch 1/20: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 8/8 [00:00<00:00, 11.84it/s, loss=2.1810, acc=18.44%]
 驗證批次 8/8 | 當前準確率: 0.1844
驗證階段完成 | 平均損失: 2.8913 | 準確率: 0.1844 | 耗時: 0.68秒
學習率從 0.001 調整為 0.0009938441702975688
發現更好的模型! 保存到 checkpoints/resnet34_best.pth
新的最佳驗證準確率: 0.1844
Epoch 1/20 完成 | 總耗時: 126.64秒 | 當前最佳準確率: 0.1844

============================================================
Epoch 2/20 開始
訓練階段:
訓練 Epoch 2/20:  32%|█████████████████████████████████████████▏                                                                                      | 319/990 [00:41<01:22,  8.15it/s, loss=2.6768, acc=20.39%, time=0.120s]
 批次 10/990 | 損失: 2.9429 | 準確率: 0.2031 | 批次時間: 0.190秒
 批次 20/990 | 損失: 2.9411 | 準確率: 0.1891 | 批次時間: 0.120秒
 批次 30/990 | 損失: 2.9754 | 準確率: 0.1823 | 批次時間: 0.120秒
 批次 40/990 | 損失: 2.9568 | 準確率: 0.1875 | 批次時間: 0.120秒
 批次 50/990 | 損失: 2.9300 | 準確率: 0.1950 | 批次時間: 0.120秒
 批次 60/990 | 損失: 2.9289 | 準確率: 0.1901 | 批次時間: 0.120秒
 批次 70/990 | 損失: 2.9124 | 準確率: 0.1906 | 批次時間: 0.120秒
 批次 80/990 | 損失: 2.9034 | 準確率: 0.1928 | 批次時間: 0.120秒
 批次 90/990 | 損失: 2.9041 | 準確率: 0.1967 | 批次時間: 0.120秒
 批次 100/990 | 損失: 2.8986 | 準確率: 0.1981 | 批次時間: 0.120秒
 批次 110/990 | 損失: 2.8962 | 準確率: 0.1966 | 批次時間: 0.189秒
 批次 120/990 | 損失: 2.8970 | 準確率: 0.1961 | 批次時間: 0.120秒
 批次 130/990 | 損失: 2.9025 | 準確率: 0.1957 | 批次時間: 0.120秒
 批次 140/990 | 損失: 2.8970 | 準確率: 0.1969 | 批次時間: 0.120秒
 批次 150/990 | 損失: 2.8965 | 準確率: 0.1977 | 批次時間: 0.120秒
 批次 160/990 | 損失: 2.9001 | 準確率: 0.1963 | 批次時間: 0.120秒
 批次 170/990 | 損失: 2.8995 | 準確率: 0.1968 | 批次時間: 0.120秒
 批次 180/990 | 損失: 2.9000 | 準確率: 0.1957 | 批次時間: 0.120秒
 批次 190/990 | 損失: 2.8953 | 準確率: 0.1974 | 批次時間: 0.120秒
 批次 200/990 | 損失: 2.8955 | 準確率: 0.1966 | 批次時間: 0.120秒
 批次 210/990 | 損失: 2.8908 | 準確率: 0.1991 | 批次時間: 0.189秒
 批次 220/990 | 損失: 2.8911 | 準確率: 0.1992 | 批次時間: 0.120秒
 批次 230/990 | 損失: 2.8924 | 準確率: 0.1995 | 批次時間: 0.120秒
 批次 240/990 | 損失: 2.8902 | 準確率: 0.1999 | 批次時間: 0.120秒
 批次 250/990 | 損失: 2.8856 | 準確率: 0.2007 | 批次時間: 0.120秒
 批次 260/990 | 損失: 2.8816 | 準確率: 0.2010 | 批次時間: 0.120秒
 批次 270/990 | 損失: 2.8810 | 準確率: 0.2010 | 批次時間: 0.120秒
 批次 280/990 | 損失: 2.8810 | 準確率: 0.2008 | 批次時間: 0.120秒
 批次 290/990 | 損失: 2.8779 | 準確率: 0.2019 | 批次時間: 0.120秒
 批次 300/990 | 損失: 2.8732 | 準確率: 0.2030 | 批次時間: 0.120秒
 批次 310/990 | 損失: 2.8683 | 準確率: 0.2034 | 批次時間: 0.191秒
 批次 320/990 | 損失: 2.8683 | 準確率: 0.2039 | 批次時間: 0.120秒
 批次 330/990 | 損失: 2.8671 | 準確率: 0.2040 | 批次時間: 0.120秒
 批次 340/990 | 損失: 2.8657 | 準確率: 0.2044 | 批次時間: 0.120秒
 批次 350/990 | 損失: 2.8613 | 準確率: 0.2055 | 批次時間: 0.121秒
 批次 360/990 | 損失: 2.8579 | 準確率: 0.2069 | 批次時間: 0.121秒
 批次 370/990 | 損失: 2.8550 | 準確率: 0.2078 | 批次時間: 0.120秒
 批次 380/990 | 損失: 2.8523 | 準確率: 0.2080 | 批次時間: 0.120秒
 批次 390/990 | 損失: 2.8491 | 準確率: 0.2087 | 批次時間: 0.121秒
 批次 400/990 | 損失: 2.8493 | 準確率: 0.2086 | 批次時間: 0.120秒
 批次 410/990 | 損失: 2.8467 | 準確率: 0.2090 | 批次時間: 0.196秒
 批次 420/990 | 損失: 2.8436 | 準確率: 0.2094 | 批次時間: 0.120秒
 批次 430/990 | 損失: 2.8426 | 準確率: 0.2098 | 批次時間: 0.121秒
 批次 440/990 | 損失: 2.8410 | 準確率: 0.2099 | 批次時間: 0.121秒
 批次 450/990 | 損失: 2.8383 | 準確率: 0.2107 | 批次時間: 0.120秒
 批次 460/990 | 損失: 2.8359 | 準確率: 0.2110 | 批次時間: 0.120秒
 批次 470/990 | 損失: 2.8337 | 準確率: 0.2112 | 批次時間: 0.120秒
 批次 480/990 | 損失: 2.8315 | 準確率: 0.2118 | 批次時間: 0.120秒
 批次 490/990 | 損失: 2.8301 | 準確率: 0.2119 | 批次時間: 0.120秒
 批次 500/990 | 損失: 2.8280 | 準確率: 0.2120 | 批次時間: 0.120秒
 批次 510/990 | 損失: 2.8249 | 準確率: 0.2128 | 批次時間: 0.189秒
 批次 520/990 | 損失: 2.8251 | 準確率: 0.2127 | 批次時間: 0.121秒
 批次 530/990 | 損失: 2.8241 | 準確率: 0.2130 | 批次時間: 0.120秒
 批次 540/990 | 損失: 2.8236 | 準確率: 0.2131 | 批次時間: 0.120秒
 批次 550/990 | 損失: 2.8216 | 準確率: 0.2135 | 批次時間: 0.120秒
 批次 560/990 | 損失: 2.8188 | 準確率: 0.2140 | 批次時間: 0.121秒
 批次 570/990 | 損失: 2.8157 | 準確率: 0.2147 | 批次時間: 0.120秒
 批次 580/990 | 損失: 2.8123 | 準確率: 0.2152 | 批次時間: 0.120秒
 批次 590/990 | 損失: 2.8096 | 準確率: 0.2156 | 批次時間: 0.120秒
 批次 600/990 | 損失: 2.8085 | 準確率: 0.2161 | 批次時間: 0.121秒
 批次 610/990 | 損失: 2.8061 | 準確率: 0.2167 | 批次時間: 0.190秒
 批次 620/990 | 損失: 2.8025 | 準確率: 0.2172 | 批次時間: 0.121秒
 批次 630/990 | 損失: 2.8012 | 準確率: 0.2177 | 批次時間: 0.120秒
 批次 640/990 | 損失: 2.7987 | 準確率: 0.2186 | 批次時間: 0.121秒
 批次 650/990 | 損失: 2.7977 | 準確率: 0.2188 | 批次時間: 0.120秒
 批次 660/990 | 損失: 2.7948 | 準確率: 0.2193 | 批次時間: 0.121秒
 批次 670/990 | 損失: 2.7927 | 準確率: 0.2200 | 批次時間: 0.120秒
 批次 680/990 | 損失: 2.7904 | 準確率: 0.2205 | 批次時間: 0.121秒
 批次 690/990 | 損失: 2.7890 | 準確率: 0.2210 | 批次時間: 0.120秒
 批次 700/990 | 損失: 2.7860 | 準確率: 0.2215 | 批次時間: 0.120秒
 批次 710/990 | 損失: 2.7835 | 準確率: 0.2222 | 批次時間: 0.193秒
 批次 720/990 | 損失: 2.7820 | 準確率: 0.2225 | 批次時間: 0.120秒
 批次 730/990 | 損失: 2.7801 | 準確率: 0.2231 | 批次時間: 0.120秒
 批次 740/990 | 損失: 2.7787 | 準確率: 0.2237 | 批次時間: 0.121秒
 批次 750/990 | 損失: 2.7763 | 準確率: 0.2241 | 批次時間: 0.121秒
 批次 760/990 | 損失: 2.7739 | 準確率: 0.2247 | 批次時間: 0.121秒
 批次 770/990 | 損失: 2.7723 | 準確率: 0.2249 | 批次時間: 0.121秒
 批次 780/990 | 損失: 2.7697 | 準確率: 0.2255 | 批次時間: 0.121秒
 批次 790/990 | 損失: 2.7668 | 準確率: 0.2262 | 批次時間: 0.121秒
 批次 800/990 | 損失: 2.7646 | 準確率: 0.2271 | 批次時間: 0.121秒
 批次 810/990 | 損失: 2.7624 | 準確率: 0.2272 | 批次時間: 0.191秒
 批次 820/990 | 損失: 2.7602 | 準確率: 0.2279 | 批次時間: 0.121秒
 批次 830/990 | 損失: 2.7587 | 準確率: 0.2282 | 批次時間: 0.121秒
 批次 840/990 | 損失: 2.7572 | 準確率: 0.2285 | 批次時間: 0.121秒
 批次 850/990 | 損失: 2.7550 | 準確率: 0.2288 | 批次時間: 0.121秒
 批次 860/990 | 損失: 2.7534 | 準確率: 0.2294 | 批次時間: 0.121秒
 批次 870/990 | 損失: 2.7513 | 準確率: 0.2302 | 批次時間: 0.121秒
 批次 880/990 | 損失: 2.7496 | 準確率: 0.2307 | 批次時間: 0.121秒
 批次 890/990 | 損失: 2.7476 | 準確率: 0.2309 | 批次時間: 0.121秒
 批次 900/990 | 損失: 2.7447 | 準確率: 0.2315 | 批次時間: 0.121秒
 批次 910/990 | 損失: 2.7435 | 準確率: 0.2319 | 批次時間: 0.201秒
 批次 920/990 | 損失: 2.7421 | 準確率: 0.2321 | 批次時間: 0.121秒
 批次 930/990 | 損失: 2.7392 | 準確率: 0.2326 | 批次時間: 0.121秒
 批次 940/990 | 損失: 2.7366 | 準確率: 0.2329 | 批次時間: 0.121秒
 批次 950/990 | 損失: 2.7347 | 準確率: 0.2334 | 批次時間: 0.121秒
 批次 960/990 | 損失: 2.7332 | 準確率: 0.2338 | 批次時間: 0.121秒
 批次 970/990 | 損失: 2.7311 | 準確率: 0.2345 | 批次時間: 0.121秒
 批次 980/990 | 損失: 2.7282 | 準確率: 0.2349 | 批次時間: 0.121秒
 批次 990/990 | 損失: 2.7265 | 準確率: 0.2352 | 批次時間: 0.060秒
訓練階段完成 | 平均損失: 2.7265 | 準確率: 0.2352 | 平均批次時間: 0.126秒 | 總時間: 126.15秒

驗證階段:
驗證 Epoch 2/20: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 8/8 [00:00<00:00, 12.42it/s, loss=1.3909, acc=16.67%]
 驗證批次 8/8 | 當前準確率: 0.1667
驗證階段完成 | 平均損失: 3.1438 | 準確率: 0.1667 | 耗時: 0.65秒
學習率從 0.0009938441702975688 調整為 0.0009755282581475768
Epoch 2/20 完成 | 總耗時: 126.80秒 | 當前最佳準確率: 0.1844

============================================================
Epoch 3/20 開始
訓練階段:
訓練 Epoch 3/20:  32%|█████████████████████████████████████████▏                                                                                      | 319/990 [00:41<01:22,  8.14it/s, loss=2.1762, acc=31.05%, time=0.190s]
 批次 10/990 | 損失: 2.4228 | 準確率: 0.3312 | 批次時間: 0.121秒
 批次 20/990 | 損失: 2.4459 | 準確率: 0.3125 | 批次時間: 0.188秒
 批次 30/990 | 損失: 2.4443 | 準確率: 0.3047 | 批次時間: 0.120秒
 批次 40/990 | 損失: 2.4840 | 準確率: 0.2977 | 批次時間: 0.120秒
 批次 50/990 | 損失: 2.4767 | 準確率: 0.2984 | 批次時間: 0.121秒
 批次 60/990 | 損失: 2.4812 | 準確率: 0.3003 | 批次時間: 0.121秒
 批次 70/990 | 損失: 2.4692 | 準確率: 0.3036 | 批次時間: 0.121秒
 批次 80/990 | 損失: 2.4609 | 準確率: 0.3037 | 批次時間: 0.121秒
 批次 90/990 | 損失: 2.4631 | 準確率: 0.3057 | 批次時間: 0.121秒
 批次 100/990 | 損失: 2.4615 | 準確率: 0.3045 | 批次時間: 0.121秒
 批次 110/990 | 損失: 2.4537 | 準確率: 0.3048 | 批次時間: 0.121秒
 批次 120/990 | 損失: 2.4472 | 準確率: 0.3052 | 批次時間: 0.193秒
 批次 130/990 | 損失: 2.4415 | 準確率: 0.3067 | 批次時間: 0.121秒
 批次 140/990 | 損失: 2.4402 | 準確率: 0.3071 | 批次時間: 0.121秒
 批次 150/990 | 損失: 2.4291 | 準確率: 0.3096 | 批次時間: 0.121秒
 批次 160/990 | 損失: 2.4266 | 準確率: 0.3094 | 批次時間: 0.121秒
 批次 170/990 | 損失: 2.4217 | 準確率: 0.3106 | 批次時間: 0.121秒
 批次 180/990 | 損失: 2.4178 | 準確率: 0.3109 | 批次時間: 0.121秒
 批次 190/990 | 損失: 2.4141 | 準確率: 0.3125 | 批次時間: 0.121秒
 批次 200/990 | 損失: 2.4163 | 準確率: 0.3120 | 批次時間: 0.121秒
 批次 210/990 | 損失: 2.4162 | 準確率: 0.3122 | 批次時間: 0.121秒
 批次 220/990 | 損失: 2.4171 | 準確率: 0.3115 | 批次時間: 0.191秒
 批次 230/990 | 損失: 2.4204 | 準確率: 0.3105 | 批次時間: 0.121秒
 批次 240/990 | 損失: 2.4205 | 準確率: 0.3097 | 批次時間: 0.121秒
 批次 250/990 | 損失: 2.4189 | 準確率: 0.3096 | 批次時間: 0.121秒
 批次 260/990 | 損失: 2.4179 | 準確率: 0.3091 | 批次時間: 0.121秒
 批次 270/990 | 損失: 2.4173 | 準確率: 0.3089 | 批次時間: 0.121秒
 批次 280/990 | 損失: 2.4183 | 準確率: 0.3090 | 批次時間: 0.121秒
 批次 290/990 | 損失: 2.4150 | 準確率: 0.3092 | 批次時間: 0.121秒
 批次 300/990 | 損失: 2.4159 | 準確率: 0.3096 | 批次時間: 0.121秒
 批次 310/990 | 損失: 2.4121 | 準確率: 0.3100 | 批次時間: 0.121秒
 批次 320/990 | 損失: 2.4098 | 準確率: 0.3105 | 批次時間: 0.190秒
 批次 330/990 | 損失: 2.4067 | 準確率: 0.3114 | 批次時間: 0.121秒
 批次 340/990 | 損失: 2.4058 | 準確率: 0.3115 | 批次時間: 0.121秒
 批次 350/990 | 損失: 2.4058 | 準確率: 0.3111 | 批次時間: 0.121秒
 批次 360/990 | 損失: 2.4033 | 準確率: 0.3114 | 批次時間: 0.121秒
 批次 370/990 | 損失: 2.4017 | 準確率: 0.3114 | 批次時間: 0.121秒
 批次 380/990 | 損失: 2.3991 | 準確率: 0.3122 | 批次時間: 0.121秒
 批次 390/990 | 損失: 2.3958 | 準確率: 0.3125 | 批次時間: 0.121秒
 批次 400/990 | 損失: 2.3942 | 準確率: 0.3127 | 批次時間: 0.121秒
 批次 410/990 | 損失: 2.3931 | 準確率: 0.3128 | 批次時間: 0.121秒
 批次 420/990 | 損失: 2.3902 | 準確率: 0.3129 | 批次時間: 0.191秒
 批次 430/990 | 損失: 2.3860 | 準確率: 0.3139 | 批次時間: 0.121秒
 批次 440/990 | 損失: 2.3836 | 準確率: 0.3155 | 批次時間: 0.121秒
 批次 450/990 | 損失: 2.3827 | 準確率: 0.3155 | 批次時間: 0.121秒
 批次 460/990 | 損失: 2.3802 | 準確率: 0.3158 | 批次時間: 0.121秒
 批次 470/990 | 損失: 2.3789 | 準確率: 0.3168 | 批次時間: 0.121秒
 批次 480/990 | 損失: 2.3791 | 準確率: 0.3169 | 批次時間: 0.121秒
 批次 490/990 | 損失: 2.3771 | 準確率: 0.3170 | 批次時間: 0.121秒
 批次 500/990 | 損失: 2.3754 | 準確率: 0.3171 | 批次時間: 0.121秒
 批次 510/990 | 損失: 2.3724 | 準確率: 0.3173 | 批次時間: 0.121秒
 批次 520/990 | 損失: 2.3722 | 準確率: 0.3171 | 批次時間: 0.191秒
 批次 530/990 | 損失: 2.3698 | 準確率: 0.3177 | 批次時間: 0.121秒
 批次 540/990 | 損失: 2.3675 | 準確率: 0.3181 | 批次時間: 0.121秒
 批次 550/990 | 損失: 2.3666 | 準確率: 0.3180 | 批次時間: 0.121秒
 批次 560/990 | 損失: 2.3653 | 準確率: 0.3183 | 批次時間: 0.121秒
 批次 570/990 | 損失: 2.3644 | 準確率: 0.3183 | 批次時間: 0.121秒
 批次 580/990 | 損失: 2.3629 | 準確率: 0.3186 | 批次時間: 0.121秒
 批次 590/990 | 損失: 2.3612 | 準確率: 0.3192 | 批次時間: 0.121秒
 批次 600/990 | 損失: 2.3592 | 準確率: 0.3196 | 批次時間: 0.121秒
 批次 610/990 | 損失: 2.3585 | 準確率: 0.3201 | 批次時間: 0.121秒
 批次 620/990 | 損失: 2.3563 | 準確率: 0.3204 | 批次時間: 0.190秒
 批次 630/990 | 損失: 2.3530 | 準確率: 0.3210 | 批次時間: 0.121秒
 批次 640/990 | 損失: 2.3504 | 準確率: 0.3214 | 批次時間: 0.121秒
 批次 650/990 | 損失: 2.3486 | 準確率: 0.3221 | 批次時間: 0.121秒
 批次 660/990 | 損失: 2.3475 | 準確率: 0.3226 | 批次時間: 0.121秒
 批次 670/990 | 損失: 2.3466 | 準確率: 0.3227 | 批次時間: 0.121秒
 批次 680/990 | 損失: 2.3441 | 準確率: 0.3238 | 批次時間: 0.121秒
 批次 690/990 | 損失: 2.3427 | 準確率: 0.3243 | 批次時間: 0.121秒
 批次 700/990 | 損失: 2.3408 | 準確率: 0.3246 | 批次時間: 0.121秒
 批次 710/990 | 損失: 2.3388 | 準確率: 0.3252 | 批次時間: 0.121秒
 批次 720/990 | 損失: 2.3358 | 準確率: 0.3261 | 批次時間: 0.192秒
 批次 730/990 | 損失: 2.3345 | 準確率: 0.3268 | 批次時間: 0.121秒
 批次 740/990 | 損失: 2.3328 | 準確率: 0.3271 | 批次時間: 0.121秒
 批次 750/990 | 損失: 2.3319 | 準確率: 0.3273 | 批次時間: 0.121秒
 批次 760/990 | 損失: 2.3285 | 準確率: 0.3280 | 批次時間: 0.121秒
 批次 770/990 | 損失: 2.3271 | 準確率: 0.3282 | 批次時間: 0.121秒
 批次 780/990 | 損失: 2.3244 | 準確率: 0.3289 | 批次時間: 0.121秒
 批次 790/990 | 損失: 2.3223 | 準確率: 0.3295 | 批次時間: 0.121秒
 批次 800/990 | 損失: 2.3206 | 準確率: 0.3301 | 批次時間: 0.121秒
 批次 810/990 | 損失: 2.3193 | 準確率: 0.3302 | 批次時間: 0.121秒
 批次 820/990 | 損失: 2.3178 | 準確率: 0.3304 | 批次時間: 0.190秒
